ID	CYP2	CYP3	CYP4	CYPM
Adom	9	34	23	23
Amar	0	1	2	2
Apis	4	9	5	5
Bput	8	14	23	23
Bros	14	25	33	33
Cfor	9	8	7	7
Choo	4	11	8	8
Csec	4	9	15	15
Daus	15	24	21	21
Dmel	6	26	19	19
Dpun	7	8	3	3
Dtru	12	10	29	29
Eann	0	5	0	0
Eocu	7	23	10	10
Etor	5	0	5	5
Faur	0	0	3	3
Fint	9	11	30	30
Gbim	7	24	17	17
Harm	4	11	14	14
Hcor	11	8	30	30
Hvit	11	45	18	18
Iele	13	9	9	9
Igra	12	25	28	28
Lkoh	2	7	2	2
Lmig	15	52	23	23
Lnig	10	31	63	63
Mrel	10	10	29	29
Mtha	12	24	29	29
Mvio	7	10	24	24
Ndub	10	18	38	38
Npic	9	16	39	39
Pame	14	36	32	32
Pgib	6	6	16	16
Pmon	8	23	31	31
Rspe	9	16	17	17
Salt	11	8	9	9
Scol	3	12	8	8
Sgre	27	94	38	38
Sstr	12	8	6	6
Tcas	4	9	12	12
Tcri	9	21	10	10
Tocc	1	3	4	4
Tsin	13	11	27	27
Vvia	9	46	30	30
Xbra	0	1	1	1
Znev	7	12	9	9
Ztra	7	22	11	11
